user_id,company_id,signup_date,country,acquisition_channel,initial_plan,job_role
usr_c862d93f,cmp_40e4ac,2024-11-16,DE,Email,Trial_Pro,Viewer
usr_0723adb6,cmp_a76fe6,2024-03-23,US,Direct,Trial_Basic,Member
usr_df775eeb,cmp_2c23d0,2024-03-05,FR,Paid_Search,Trial_Pro,Admin
usr_8779b1b4,cmp_0716b8,2024-06-05,IN,Social,Free,Member
usr_06964ab8,cmp_a960ee,2024-03-29,DE,Referral,Trial_Pro,Member
usr_812496ad,cmp_8d9a07,2024-05-05,ES,Direct,Trial_Pro,Member
usr_b3fe065a,cmp_6df0b8,2024-07-18,US,Referral,Trial_Pro,Member
usr_f36084e1,cmp_c6bb82,2024-12-23,DE,Paid_Search,Trial_Basic,Member
usr_8eadc72b,cmp_c3d304,2024-01-23,ES,Social,Trial_Basic,Member
usr_93fbc3f8,cmp_f38f92,2024-03-30,ES,Email,Trial_Pro,Viewer
usr_cbdc8225,cmp_ac6c2d,2024-10-26,US,Social,Trial_Pro,Viewer
usr_131181d3,cmp_b31303,2024-11-16,FR,Direct,Free,Viewer
usr_471fdcb2,cmp_f822ca,2024-05-28,ES,Referral,Free,Admin
usr_5b453162,cmp_7ef806,2024-07-20,ES,Direct,Free,Member
usr_b4c7b2ee,cmp_9975e7,2024-02-15,DE,Referral,Trial_Pro,Admin
usr_ca22562f,cmp_06b4fe,2024-04-19,US,Email,Trial_Basic,Member
usr_93b06663,cmp_19c1ce,2024-02-04,FR,Referral,Trial_Basic,Member
usr_680f5b74,cmp_c144af,2024-12-05,ES,Organic,Trial_Pro,Admin
usr_1dd7f474,cmp_260073,2024-07-04,UK,Referral,Trial_Basic,Member
usr_ea3f6286,cmp_5cf5a9,2024-06-05,US,Organic,Trial_Basic,Member
usr_1ec23281,cmp_acec39,2024-10-20,US,Paid_Search,Trial_Pro,Viewer
usr_c4f673ba,cmp_b6823f,2024-09-09,DE,Organic,Trial_Pro,Member
usr_5a277182,cmp_acbc7b,2024-07-03,ES,Direct,Free,Viewer
usr_c664c761,cmp_bd5bde,2024-09-18,IN,Social,Trial_Pro,Member
usr_2030f8f1,cmp_f22408,2024-06-16,DE,Email,Trial_Basic,Admin
usr_65e69172,cmp_ccc048,2024-02-09,DE,Organic,Trial_Pro,Member
usr_c56f448c,cmp_f50f95,2024-10-05,FR,Social,Trial_Pro,Member
usr_4ce708ab,cmp_20d3de,2024-02-14,US,Paid_Search,Trial_Basic,Member
usr_3f76ebb1,cmp_a7a0d2,2024-06-01,IN,Email,Free,Viewer
usr_e706b8cd,cmp_cced11,2024-06-10,DE,Organic,Trial_Basic,Admin
usr_c2fe55ae,cmp_99ee57,2024-06-30,IN,Social,Trial_Basic,Viewer
usr_5cfdec95,cmp_6f7cc9,2024-04-19,ES,Organic,Trial_Pro,Member
usr_e052cb63,cmp_5801bd,2024-04-02,FR,Direct,Trial_Basic,Viewer
usr_0f284802,cmp_ee5740,2024-02-10,FR,Direct,Trial_Pro,Admin
usr_4cc0bee7,cmp_93f7f7,2024-10-26,UK,Referral,Trial_Basic,Admin
usr_be5c5b70,cmp_60db1d,2024-03-22,DE,Email,Trial_Basic,Member
usr_df656a21,cmp_49e2df,2024-11-03,DE,Paid_Search,Trial_Pro,Member
usr_ca2d8084,cmp_5e9a42,2024-11-18,US,Direct,Free,Member
usr_841b62cd,cmp_368267,2024-05-11,ES,Paid_Search,Free,Admin
usr_a8616a9e,cmp_d88cd9,2024-12-24,IN,Paid_Search,Free,Member
usr_e80bae1b,cmp_5b04fe,2024-12-11,FR,Paid_Search,Trial_Pro,Viewer
usr_9a7217e2,cmp_016131,2024-04-10,IN,Referral,Trial_Pro,Member
usr_cb563041,cmp_c9aca3,2024-12-20,DE,Direct,Trial_Basic,Member
usr_099bf747,cmp_adc79c,2024-02-08,ES,Organic,Trial_Basic,Member
usr_93cf4abe,cmp_725009,2024-10-09,US,Direct,Free,Viewer
usr_6f325de2,cmp_73797c,2024-12-19,US,Paid_Search,Trial_Basic,Member
usr_2de1f28c,cmp_1532b6,2024-04-16,US,Paid_Search,Free,Viewer
usr_00e22e91,cmp_f4f3eb,2024-12-07,ES,Referral,Free,Admin
usr_73dfc800,cmp_3d1664,2024-07-27,US,Organic,Trial_Pro,Admin
usr_e12daaee,cmp_5ff8ec,2024-01-07,UK,Referral,Trial_Basic,Viewer
usr_11e22f96,cmp_d20a05,2024-12-12,ES,Paid_Search,Trial_Pro,Member
usr_d060f44b,cmp_6c8942,2024-08-29,UK,Email,Free,Viewer
usr_02d06dc3,cmp_f78646,2024-03-15,IN,Organic,Free,Admin
usr_cd8a8935,cmp_84b71c,2024-01-09,ES,Organic,Trial_Basic,Member
usr_ae7d9308,cmp_3bb4dc,2024-10-12,FR,Paid_Search,Trial_Basic,Viewer
usr_5e04f0cc,cmp_ef5769,2024-09-28,ES,Email,Trial_Basic,Member
usr_3e2ee267,cmp_07e810,2024-04-17,ES,Email,Trial_Basic,Viewer
usr_7eea4295,cmp_0e8f5e,2024-03-21,UK,Direct,Free,Member
usr_48ba3ea0,cmp_953bb7,2024-04-13,IN,Referral,Trial_Pro,Member
usr_6c4de9b4,cmp_e61ffb,2024-01-06,ES,Paid_Search,Trial_Pro,Admin
usr_9a5fc19b,cmp_fab7b1,2024-08-27,FR,Referral,Trial_Basic,Member
usr_b4489972,cmp_a09d32,2024-04-29,FR,Direct,Free,Member
usr_c136fbe6,cmp_acccf3,2024-01-17,FR,Direct,Trial_Basic,Member
usr_77dfb68a,cmp_5bc420,2024-05-16,ES,Direct,Trial_Basic,Viewer
usr_d043f388,cmp_c60366,2024-11-14,ES,Email,Free,Viewer
usr_d00241dc,cmp_017108,2024-11-07,US,Organic,Trial_Pro,Member
usr_1a71e133,cmp_ae08d7,2024-05-01,DE,Organic,Trial_Pro,Viewer
usr_e92f4811,cmp_9b1af2,2024-07-19,IN,Email,Trial_Pro,Member
usr_24cc5124,cmp_f0f107,2024-10-06,US,Paid_Search,Trial_Basic,Viewer
usr_0f2fcafd,cmp_667e0c,2024-11-06,FR,Referral,Trial_Basic,Member
usr_f0cf9d64,cmp_e0364e,2024-03-09,US,Paid_Search,Trial_Basic,Member
usr_0b681fc5,cmp_1a9a40,2024-12-27,US,Referral,Trial_Pro,Viewer
usr_135d3dd1,cmp_705f4a,2024-04-23,IN,Referral,Free,Viewer
usr_798de350,cmp_7b16c5,2024-05-20,IN,Direct,Trial_Pro,Admin
usr_d9036cb1,cmp_0832a5,2024-05-14,IN,Organic,Trial_Pro,Viewer
usr_3e993721,cmp_cc0743,2024-12-29,IN,Organic,Trial_Basic,Member
usr_c0aebe25,cmp_52046e,2024-09-14,DE,Referral,Trial_Basic,Viewer
usr_c8842f1f,cmp_fdd1a8,2024-03-15,FR,Paid_Search,Trial_Pro,Member
usr_12787e4f,cmp_5c88e9,2024-04-20,US,Email,Free,Viewer
usr_45c4d247,cmp_9b5834,2024-07-09,US,Paid_Search,Trial_Basic,Member
usr_5ef09002,cmp_97a751,2024-02-22,DE,Organic,Trial_Basic,Viewer
usr_eb46bbee,cmp_ef37b3,2024-03-08,US,Organic,Trial_Basic,Admin
usr_5fc633c1,cmp_4c14bf,2024-02-07,US,Organic,Trial_Pro,Member
usr_64308327,cmp_3919e1,2024-02-04,IN,Direct,Trial_Pro,Viewer
usr_a2f9c062,cmp_8dc984,2024-11-21,FR,Referral,Free,Member
usr_540dad1b,cmp_039fee,2024-10-31,UK,Email,Free,Viewer
usr_890f8127,cmp_86b7ea,2024-05-27,UK,Email,Trial_Basic,Member
usr_639f39ed,cmp_031320,2024-10-22,DE,Paid_Search,Trial_Pro,Member
usr_9c01d40c,cmp_6d68fe,2024-11-16,ES,Paid_Search,Trial_Basic,Member
usr_0cbe4657,cmp_2443c6,2024-09-13,ES,Paid_Search,Free,Member
usr_441bb917,cmp_394474,2024-02-27,US,Email,Trial_Pro,Member
usr_8dcd9b86,cmp_dcc4db,2024-01-27,UK,Social,Trial_Basic,Admin
usr_ac21e016,cmp_5b7914,2024-03-27,UK,Direct,Trial_Pro,Member
usr_49e50b3f,cmp_407d94,2024-12-13,ES,Referral,Trial_Pro,Viewer
usr_1e9e8928,cmp_d1ee80,2024-08-29,ES,Email,Trial_Basic,Viewer
usr_c285f1bd,cmp_23e3b4,2024-10-08,UK,Referral,Trial_Pro,Viewer
usr_55b6aa44,cmp_a5db67,2024-01-08,UK,Social,Trial_Pro,Viewer
usr_cf98f2ba,cmp_2ab4f5,2024-07-27,FR,Organic,Trial_Basic,Viewer
usr_51e04bc2,cmp_0cc653,2024-01-04,US,Social,Free,Member
usr_2c04bd45,cmp_bd6778,2024-08-20,FR,Email,Trial_Pro,Member
usr_cde9fa08,cmp_a44e6e,2024-09-20,FR,Paid_Search,Trial_Pro,Viewer
usr_0b72a61e,cmp_40495d,2024-11-24,US,Paid_Search,Trial_Basic,Member
usr_944068d2,cmp_bfd18c,2024-11-22,DE,Email,Trial_Pro,Member
usr_d3e56cd1,cmp_4c33d9,2024-11-10,FR,Social,Trial_Pro,Member
usr_366b5fb4,cmp_67edb4,2024-09-14,IN,Email,Free,Admin
usr_ab8c013f,cmp_af158d,2024-11-18,IN,Social,Trial_Basic,Admin
usr_77f927fe,cmp_aea70c,2024-10-08,UK,Referral,Trial_Basic,Member
usr_c2b2b4b3,cmp_39d404,2024-02-13,US,Email,Trial_Pro,Admin
usr_07c762c5,cmp_711244,2024-11-06,IN,Organic,Trial_Basic,Viewer
usr_93db8b30,cmp_7ad968,2024-04-12,FR,Organic,Trial_Pro,Member
usr_d6197eba,cmp_fc3cbe,2024-10-02,IN,Direct,Free,Viewer
usr_065d21da,cmp_dac45e,2024-07-16,ES,Direct,Free,Member
usr_c99d0619,cmp_0f9a26,2024-02-18,ES,Direct,Trial_Basic,Viewer
usr_fbb09c4b,cmp_aeb318,2024-06-17,DE,Email,Free,Member
usr_2ef2a5eb,cmp_7c4a20,2024-11-06,UK,Email,Trial_Basic,Member
usr_72880cd1,cmp_1e92c3,2024-05-29,ES,Social,Trial_Basic,Viewer
usr_dac1c508,cmp_055d05,2024-09-09,UK,Social,Free,Member
usr_3764a2b6,cmp_1eb902,2024-03-09,DE,Direct,Trial_Basic,Member
usr_d521791c,cmp_ae3979,2024-08-21,US,Paid_Search,Trial_Pro,Viewer
usr_89c70caa,cmp_3c3ac9,2024-05-08,UK,Social,Trial_Basic,Member
usr_e5d2cf0c,cmp_20f12d,2024-07-01,UK,Email,Free,Member
usr_3d8283c5,cmp_747b0b,2024-09-09,FR,Social,Trial_Basic,Viewer
usr_a6713348,cmp_3f1b02,2024-03-30,ES,Referral,Trial_Pro,Viewer
usr_e94ed0ea,cmp_83bc16,2024-06-18,ES,Organic,Trial_Pro,Viewer
usr_eae0911a,cmp_584d33,2024-01-16,FR,Email,Trial_Pro,Viewer
usr_e42a79a1,cmp_729afd,2024-04-12,US,Email,Trial_Basic,Viewer
usr_da21827a,cmp_f24d1d,2024-05-04,US,Social,Trial_Basic,Member
usr_d29faca3,cmp_a10a59,2024-12-19,ES,Email,Trial_Pro,Member
usr_24c1a138,cmp_fa0995,2024-12-15,US,Direct,Trial_Basic,Member
usr_5ec0e0a1,cmp_522790,2024-04-07,ES,Email,Trial_Basic,Admin
usr_375cf386,cmp_5c6f24,2024-08-15,ES,Email,Trial_Basic,Viewer
usr_35100fd2,cmp_ae4abb,2024-03-07,UK,Social,Trial_Basic,Member
usr_7bb58a2c,cmp_ddbc50,2024-09-27,UK,Referral,Trial_Basic,Admin
usr_3969f8c9,cmp_f02287,2024-02-19,US,Organic,Trial_Basic,Viewer
usr_b61c31fc,cmp_bc5889,2024-03-12,FR,Organic,Free,Admin
usr_e01d3f75,cmp_9f8928,2024-07-01,FR,Referral,Trial_Basic,Member
usr_48ea1dab,cmp_037c6b,2024-08-21,UK,Email,Free,Admin
usr_e6b5321e,cmp_728704,2024-01-26,UK,Referral,Trial_Basic,Viewer
usr_2f8068df,cmp_97d3a0,2024-12-15,UK,Email,Free,Viewer
usr_fccad13f,cmp_70b863,2024-10-28,ES,Organic,Trial_Pro,Member
usr_f1ae1a19,cmp_0299ce,2024-03-15,ES,Social,Trial_Pro,Viewer
usr_c9b693c4,cmp_44d855,2024-09-14,UK,Referral,Trial_Pro,Member
usr_31be02d1,cmp_dce2a3,2024-03-21,IN,Referral,Trial_Basic,Viewer
usr_0f58cf5d,cmp_8ac9fa,2024-09-14,US,Organic,Trial_Pro,Member
usr_7e540b1e,cmp_f1199f,2024-09-16,ES,Email,Trial_Pro,Member
usr_91b10dfb,cmp_664c39,2024-01-29,UK,Organic,Free,Viewer
usr_9a65f64f,cmp_b2944a,2024-01-23,DE,Referral,Free,Member
usr_d8cf5cf4,cmp_08aafa,2024-04-20,FR,Direct,Trial_Pro,Member
usr_703ee46a,cmp_60bc7f,2024-01-10,DE,Referral,Free,Member
usr_b1c63c54,cmp_d1714f,2024-03-14,IN,Organic,Trial_Pro,Viewer
usr_685f1ac9,cmp_f90cf5,2024-03-23,DE,Email,Trial_Pro,Viewer
usr_de2fe34b,cmp_2404ab,2024-07-21,UK,Social,Trial_Pro,Viewer
usr_42e3f728,cmp_f16fc0,2024-11-02,DE,Organic,Trial_Basic,Admin
usr_5f280104,cmp_327895,2024-11-10,IN,Direct,Trial_Pro,Member
usr_2881eb1e,cmp_7329aa,2024-10-09,US,Email,Trial_Pro,Admin
usr_3fd76e7d,cmp_3abd46,2024-09-26,ES,Referral,Trial_Pro,Viewer
usr_6ec9d7e3,cmp_279fd1,2024-03-11,ES,Social,Trial_Basic,Member
usr_410848ec,cmp_7b41e4,2024-01-30,UK,Paid_Search,Trial_Basic,Viewer
usr_3f1dd99e,cmp_62638f,2024-10-30,US,Social,Trial_Pro,Member
usr_12927f3e,cmp_9621ac,2024-07-19,FR,Social,Trial_Pro,Member
usr_ae98d5ef,cmp_65fea6,2024-10-17,DE,Organic,Free,Admin
usr_95504cdc,cmp_e66779,2024-01-17,FR,Referral,Trial_Pro,Member
usr_9a1b3ac6,cmp_5e97e3,2024-06-06,FR,Referral,Trial_Pro,Member
usr_2ee3be7f,cmp_6f2a7d,2024-06-09,UK,Direct,Trial_Basic,Admin
usr_83c40a5d,cmp_43815f,2024-02-08,UK,Organic,Trial_Pro,Member
usr_db36ceec,cmp_a8c3f9,2024-08-26,US,Direct,Trial_Pro,Viewer
usr_835dac29,cmp_a84e84,2024-11-23,FR,Direct,Trial_Basic,Member
usr_54cf9f1a,cmp_96250c,2024-09-12,FR,Paid_Search,Trial_Pro,Admin
usr_2a23d9d2,cmp_4d13d7,2024-07-15,FR,Organic,Free,Member
usr_3f689ccc,cmp_1fbe97,2024-09-26,FR,Direct,Trial_Basic,Member
usr_59d7c5c6,cmp_2b61e3,2024-06-21,UK,Referral,Trial_Basic,Viewer
usr_22d10d39,cmp_ce2765,2024-10-02,ES,Referral,Trial_Basic,Admin
usr_db7b7d4e,cmp_e7103d,2024-05-01,DE,Paid_Search,Trial_Basic,Admin
usr_024911aa,cmp_fe0a53,2024-12-14,UK,Social,Trial_Pro,Admin
usr_17aa235e,cmp_0a7636,2024-10-27,US,Organic,Trial_Pro,Member
usr_a5e17714,cmp_dacb73,2024-08-15,FR,Organic,Free,Member
usr_89d43931,cmp_1892f7,2024-08-04,DE,Referral,Trial_Basic,Admin
usr_cf72cef3,cmp_fe335a,2024-03-06,IN,Direct,Trial_Basic,Viewer
usr_a0d3e5aa,cmp_15d4e6,2024-06-30,UK,Email,Trial_Basic,Viewer
usr_db1f5a0d,cmp_340294,2024-12-14,ES,Direct,Trial_Basic,Admin
usr_35b99d42,cmp_63a2f2,2024-07-29,ES,Organic,Trial_Pro,Member
usr_0819b87d,cmp_b8f23d,2024-08-24,ES,Email,Trial_Pro,Viewer
usr_67e1aa89,cmp_ca0fb2,2024-06-01,FR,Direct,Trial_Basic,Member
usr_280471ba,cmp_33d9c9,2024-10-11,ES,Email,Trial_Pro,Viewer
usr_85c60b6f,cmp_baa713,2024-11-04,ES,Organic,Trial_Pro,Member
usr_09aa1783,cmp_5500be,2024-09-24,FR,Organic,Trial_Pro,Admin
usr_85315024,cmp_263372,2024-08-15,ES,Direct,Free,Admin
usr_19409985,cmp_2660b4,2024-11-30,ES,Direct,Trial_Basic,Member
usr_67ce7a85,cmp_9e0591,2024-01-24,US,Referral,Free,Viewer
usr_965564c8,cmp_936c9f,2024-06-16,UK,Direct,Trial_Basic,Admin
usr_ba6bba11,cmp_3b3a0e,2024-06-16,FR,Referral,Trial_Pro,Viewer
usr_0e869830,cmp_4f735f,2024-08-05,IN,Social,Free,Member
usr_4cc5eebd,cmp_2bc505,2024-05-25,FR,Organic,Trial_Pro,Member
usr_2f30e82f,cmp_5dc974,2024-11-04,FR,Social,Trial_Pro,Member
usr_6403c7e7,cmp_950605,2024-04-21,US,Social,Trial_Pro,Member
usr_baef4c03,cmp_f65426,2024-07-14,US,Referral,Trial_Pro,Member
usr_c508cb66,cmp_a7b0ce,2024-11-04,US,Organic,Trial_Basic,Admin
usr_3910e8c9,cmp_c1bde1,2024-08-18,UK,Referral,Trial_Pro,Admin
usr_894fe2f3,cmp_d27dca,2024-11-15,ES,Organic,Trial_Pro,Member
usr_1996f1d2,cmp_d28fad,2024-11-15,IN,Organic,Trial_Basic,Member
usr_000142d2,cmp_b15391,2024-02-20,IN,Referral,Free,Member
usr_0ceb27d5,cmp_494f18,2024-11-19,UK,Direct,Free,Member
usr_e4bb11b5,cmp_db2c45,2024-01-16,DE,Referral,Trial_Basic,Member
usr_09b671fe,cmp_01b9a6,2024-08-31,US,Direct,Trial_Basic,Member
usr_e609d352,cmp_34c25a,2024-12-29,ES,Paid_Search,Free,Member
usr_a51e070c,cmp_4514ed,2024-11-25,US,Referral,Free,Member
usr_cb59ba74,cmp_23d052,2024-06-11,UK,Direct,Trial_Basic,Member
usr_7c1f1bc1,cmp_ef69cd,2024-08-03,DE,Social,Trial_Basic,Member
usr_5e41cd66,cmp_b8b40c,2024-06-25,FR,Email,Trial_Basic,Member
usr_bba0a4ba,cmp_c46487,2024-06-21,US,Organic,Trial_Pro,Member
usr_57c38150,cmp_c1ed97,2024-11-21,FR,Organic,Free,Member
usr_5997ccb3,cmp_6b9b49,2024-08-16,DE,Organic,Trial_Basic,Admin
usr_3251dcbe,cmp_257ee5,2024-02-02,US,Social,Trial_Basic,Member
usr_e8fa9d10,cmp_e44e59,2024-09-11,DE,Email,Free,Member
usr_3bed30e6,cmp_d2dc92,2024-10-28,US,Social,Free,Member
usr_fe6502e3,cmp_7ae37d,2024-08-13,DE,Paid_Search,Free,Member
usr_3bb0cce1,cmp_b4d370,2024-12-15,UK,Social,Trial_Pro,Member
usr_413a4b81,cmp_87aa88,2024-01-21,ES,Referral,Free,Member
usr_9acf5404,cmp_90eea6,2024-03-25,FR,Email,Trial_Pro,Admin
usr_f85757b2,cmp_5c19dd,2024-12-06,UK,Direct,Trial_Basic,Member
usr_bb39b465,cmp_19806d,2024-09-07,US,Direct,Free,Viewer
usr_2d3ff129,cmp_17cdd9,2024-02-16,ES,Paid_Search,Free,Member
usr_000587e0,cmp_40a669,2024-08-25,DE,Social,Trial_Pro,Admin
usr_b928471c,cmp_915d76,2024-01-05,IN,Social,Trial_Basic,Member
usr_9173098c,cmp_3e7230,2024-11-11,DE,Direct,Trial_Basic,Viewer
usr_dd67489c,cmp_6e6e10,2024-02-12,ES,Direct,Trial_Pro,Admin
usr_18117924,cmp_62d8a9,2024-09-22,UK,Organic,Trial_Basic,Viewer
usr_c78e1fc8,cmp_11790e,2024-12-12,DE,Referral,Free,Admin
usr_2eb54047,cmp_058279,2024-01-13,IN,Social,Free,Member
usr_1362bf02,cmp_93423a,2024-08-27,UK,Paid_Search,Trial_Pro,Member
usr_5c21cce6,cmp_024af6,2024-12-23,IN,Email,Free,Admin
usr_4458b348,cmp_e2dd1f,2024-10-04,IN,Organic,Trial_Basic,Member
usr_a65b6805,cmp_ba5297,2024-10-31,FR,Organic,Trial_Basic,Viewer
usr_566b9244,cmp_375a0e,2024-12-25,DE,Email,Trial_Basic,Admin
usr_af0d4855,cmp_5bfca5,2024-01-18,FR,Email,Trial_Pro,Member
usr_977d1448,cmp_05a8d1,2024-12-17,FR,Organic,Trial_Pro,Member
usr_d5911915,cmp_317759,2024-02-07,FR,Email,Trial_Pro,Member
usr_e204af8a,cmp_378704,2024-04-14,FR,Direct,Trial_Pro,Admin
usr_eec23507,cmp_bb9c59,2024-01-14,UK,Paid_Search,Trial_Basic,Viewer
usr_921e7aac,cmp_2c255a,2024-01-28,DE,Email,Trial_Pro,Member
usr_45c855a1,cmp_831774,2024-01-18,DE,Direct,Trial_Basic,Member
usr_a9f1846a,cmp_22e86c,2024-03-10,UK,Email,Trial_Basic,Admin
usr_ef28270e,cmp_e32e65,2024-12-10,IN,Direct,Trial_Pro,Admin
usr_0b606a4a,cmp_4a7c9c,2024-08-02,US,Referral,Trial_Basic,Member
usr_a1505804,cmp_b0dcea,2024-02-19,FR,Direct,Trial_Pro,Admin
usr_95a59dad,cmp_d505df,2024-07-22,DE,Organic,Trial_Pro,Member
usr_bb26b4ad,cmp_36bd44,2024-01-03,DE,Paid_Search,Free,Admin
usr_3f0de444,cmp_148055,2024-12-01,IN,Social,Trial_Basic,Member
usr_283fc07f,cmp_a65b23,2024-05-12,ES,Referral,Trial_Pro,Member
usr_d5b919c0,cmp_8b5475,2024-01-12,US,Direct,Trial_Pro,Admin
usr_81417e3a,cmp_53fdb6,2024-05-20,IN,Direct,Free,Admin
usr_7bfad7c2,cmp_804360,2024-09-23,ES,Paid_Search,Trial_Pro,Admin
usr_b67024e5,cmp_538621,2024-06-16,UK,Direct,Trial_Basic,Member
usr_45e90488,cmp_8977c4,2024-03-03,UK,Email,Trial_Pro,Admin
usr_da0d65db,cmp_ee6791,2024-08-19,IN,Direct,Trial_Pro,Member
usr_b14b38ac,cmp_c12ef5,2024-06-16,US,Social,Free,Member
usr_39b4101f,cmp_9d29df,2024-07-01,FR,Referral,Trial_Basic,Member
usr_9e6f511c,cmp_19c1ce,2024-02-11,US,Paid_Search,Trial_Basic,Viewer
usr_44270a56,cmp_ff4643,2024-10-07,DE,Referral,Free,Viewer
usr_12006e82,cmp_20d48b,2024-07-04,FR,Email,Trial_Pro,Viewer
usr_ba9b9f4b,cmp_1a2d5b,2024-07-05,IN,Social,Trial_Basic,Viewer
usr_7e31b56f,cmp_d2d008,2024-02-26,DE,Paid_Search,Trial_Basic,Viewer
usr_0a67e24f,cmp_95107a,2024-07-09,ES,Organic,Free,Member
usr_23cc6e3a,cmp_1c60e4,2024-11-27,ES,Email,Trial_Basic,Viewer
usr_8a8fe9a9,cmp_9e4426,2024-02-16,DE,Referral,Trial_Basic,Admin
usr_2d5df6c7,cmp_722b09,2024-04-10,ES,Organic,Trial_Pro,Member
usr_21646900,cmp_603c13,2024-04-19,FR,Paid_Search,Trial_Pro,Viewer
usr_8a4dac84,cmp_fcd18a,2024-04-11,FR,Social,Trial_Basic,Member
usr_4515f80b,cmp_d6deef,2024-04-14,FR,Organic,Trial_Pro,Member
usr_5c0d4ed4,cmp_270b08,2024-03-17,IN,Paid_Search,Trial_Pro,Member
usr_eed230be,cmp_cf59a3,2024-04-19,DE,Referral,Trial_Basic,Member
usr_abb1ad08,cmp_cd3e91,2024-01-15,DE,Organic,Trial_Pro,Member
usr_b985e979,cmp_d65189,2024-03-12,DE,Organic,Trial_Pro,Member
usr_7283e705,cmp_70362b,2024-08-27,DE,Paid_Search,Trial_Basic,Admin
usr_a0303ed0,cmp_72a7b2,2024-08-25,IN,Direct,Free,Member
usr_0cf74dd2,cmp_0952ee,2024-01-28,US,Organic,Trial_Basic,Viewer
