customer_id,signup_date,is_activated,has_active_sub,last_seen,days_since_signup,days_since_last_seen,stage
C00076,2025-08-05,True,True,2025-08-14,129,120,Retained
C00077,2025-07-11,True,True,2025-07-12,154,153,Retained
C00078,2025-01-24,False,False,2025-01-24,322,322,Churned
C00079,2025-06-01,True,False,2025-06-04,194,191,Dormant
C00080,2025-10-07,False,False,2025-10-07,66,66,Churned
C00081,2025-10-15,False,False,2025-10-15,58,58,Churned
C00082,2025-06-25,True,False,2025-07-01,170,164,Dormant
C00083,2025-08-22,False,False,2025-08-22,112,112,Churned
C00084,2025-05-28,True,True,2025-05-28,198,198,Retained
C00085,2025-01-15,True,False,2025-01-27,331,319,Dormant
C00086,2025-05-15,False,False,2025-05-15,211,211,Churned
C00087,2025-01-04,True,False,2025-01-10,342,336,Dormant
C00088,2025-06-20,False,True,2025-06-20,175,175,Retained
C00089,2025-05-08,True,False,2025-07-29,218,136,Dormant
C00090,2025-12-08,False,True,2025-12-08,4,4,Retained
C00091,2025-02-26,True,False,2025-02-26,289,289,Dormant
C00092,2024-12-15,True,False,2024-12-21,362,356,Dormant
C00093,2025-05-27,False,False,2025-05-27,199,199,Churned
C00094,2025-10-22,True,False,2026-03-06,51,-84,Engagement
C00095,2025-11-27,False,False,2025-11-27,15,15,Churned
C00096,2025-02-18,False,False,2025-02-18,297,297,Churned
C00097,2025-01-11,False,False,2025-01-11,335,335,Churned
C00098,2025-11-21,True,False,2026-03-02,21,-80,Engagement
C00099,2025-07-20,True,True,2025-07-27,145,138,Retained
C00100,2025-05-12,True,False,2025-10-17,214,56,Dormant
C00101,2025-02-09,False,True,2025-02-09,306,306,Retained
C00102,2025-09-11,False,False,2025-09-11,92,92,Churned
C00103,2025-03-10,True,False,2025-03-24,277,263,Dormant
C00104,2025-09-30,True,False,2025-10-03,73,70,Dormant
C00105,2025-07-20,True,False,2025-08-01,145,133,Dormant
C00106,2025-09-13,False,True,2025-09-13,90,90,Retained
C00107,2025-11-16,True,False,2025-11-18,26,24,Engagement
C00108,2025-03-21,True,False,2025-03-23,266,264,Dormant
C00109,2025-01-20,True,False,2025-01-25,326,321,Dormant
C00110,2025-06-12,True,False,2025-06-17,183,178,Dormant
C00111,2025-07-21,True,False,2025-07-26,144,139,Dormant
C00112,2025-07-01,True,True,2025-09-16,164,87,Retained
C00113,2025-09-23,False,False,2025-09-23,80,80,Churned
C00114,2025-10-28,False,False,2026-01-13,45,-32,Churned
C00115,2025-03-15,True,False,2025-03-29,272,258,Dormant
C00116,2025-04-16,True,True,2025-10-27,240,46,Retained
C00117,2025-11-07,False,False,2025-12-03,35,9,Churned
C00118,2025-10-21,True,False,2025-10-25,52,48,Dormant
C00119,2025-03-30,True,False,2025-04-03,257,253,Dormant
C00120,2025-01-17,False,True,2025-01-17,329,329,Retained
C00121,2024-12-12,True,True,2024-12-18,365,359,Retained
C00122,2025-01-01,True,False,2025-02-27,345,288,Dormant
C00123,2025-02-14,True,True,2025-02-26,301,289,Retained
C00124,2024-12-17,True,False,2024-12-24,360,353,Dormant
C00125,2025-03-12,True,False,2025-03-27,275,260,Dormant
C00126,2024-12-24,False,True,2024-12-24,353,353,Retained
C00127,2025-07-25,True,False,2025-08-08,140,126,Dormant
C00128,2025-10-13,False,True,2025-10-13,60,60,Retained
C00129,2025-09-08,True,False,2025-09-08,95,95,Dormant
C00130,2025-11-28,True,False,2025-12-12,14,0,Engagement
C00131,2025-10-07,False,False,2025-10-07,66,66,Churned
C00132,2025-12-10,False,False,2026-03-15,2,-93,Acquisition
C00133,2025-03-28,True,False,2025-03-28,259,259,Dormant
C00134,2025-11-26,False,False,2025-11-26,16,16,Churned
C00135,2025-10-25,True,False,2025-11-03,48,39,Dormant
C00136,2025-04-04,True,True,2025-04-08,252,248,Retained
C00137,2024-12-17,True,False,2024-12-31,360,346,Dormant
C00138,2025-02-09,False,False,2025-02-09,306,306,Churned
C00139,2025-09-15,True,False,2025-09-20,88,83,Dormant
C00140,2025-03-20,False,False,2025-03-20,267,267,Churned
C00141,2025-01-18,True,False,2025-01-27,328,319,Dormant
C00142,2025-01-14,True,False,2025-07-14,332,151,Dormant
C00143,2025-02-13,False,False,2025-02-13,302,302,Churned
C00144,2025-02-08,True,False,2025-04-24,307,232,Dormant
C00145,2025-07-23,True,True,2025-09-25,142,78,Retained
C00146,2025-09-19,True,False,2025-09-30,84,73,Dormant
C00147,2025-04-15,False,False,2025-04-15,241,241,Churned
C00148,2025-02-22,True,False,2025-02-24,293,291,Dormant
C00149,2025-10-21,False,False,2025-10-21,52,52,Churned
C00150,2025-08-24,False,False,2025-08-24,110,110,Churned
C00151,2025-04-05,False,True,2025-04-05,251,251,Retained
C00152,2025-04-20,True,False,2025-04-29,236,227,Dormant
C00153,2025-03-15,False,True,2025-03-30,272,257,Retained
C00154,2025-04-05,True,False,2025-04-12,251,244,Dormant
C00155,2025-03-30,True,False,2025-03-30,257,257,Dormant
C00156,2025-09-06,True,False,2025-09-16,97,87,Dormant
C00157,2025-02-09,True,False,2025-07-19,306,146,Dormant
C00158,2025-03-26,True,False,2025-03-30,261,257,Dormant
C00159,2025-03-20,False,False,2025-03-20,267,267,Churned
C00160,2024-12-23,True,True,2025-06-30,354,165,Retained
C00161,2025-01-26,True,False,2025-01-30,320,316,Dormant
C00162,2025-04-20,True,False,2025-04-30,236,226,Dormant
C00163,2025-09-09,False,False,2025-09-09,94,94,Churned
C00164,2025-11-11,False,False,2025-12-12,31,0,Churned
C00165,2025-08-03,False,False,2025-08-03,131,131,Churned
C00166,2025-11-28,True,False,2025-12-05,14,7,Engagement
C00167,2025-06-03,False,False,2025-06-03,192,192,Churned
C00168,2025-09-18,True,False,2025-09-26,85,77,Dormant
C00169,2025-08-20,True,False,2025-08-28,114,106,Dormant
C00170,2025-11-08,True,True,2026-02-12,34,-62,Retained
C00171,2025-01-02,False,False,2025-01-02,344,344,Churned
C00172,2025-08-25,True,False,2026-02-10,109,-60,Engagement
C00173,2025-10-06,False,False,2025-10-06,67,67,Churned
C00174,2025-01-01,True,True,2025-07-17,345,148,Retained
C00175,2025-10-03,True,False,2025-10-03,70,70,Dormant
C00176,2025-05-23,False,True,2025-05-23,203,203,Retained
C00177,2025-02-27,False,False,2025-02-27,288,288,Churned
C00178,2025-07-16,True,False,2025-07-22,149,143,Dormant
C00179,2025-05-03,True,False,2025-05-04,223,222,Dormant
C00180,2025-05-26,False,False,2025-05-26,200,200,Churned
C00181,2025-05-26,True,False,2025-06-01,200,194,Dormant
C00182,2025-01-17,True,False,2025-01-21,329,325,Dormant
C00183,2025-11-04,True,False,2025-11-15,38,27,Engagement
C00184,2025-10-24,False,False,2026-03-23,49,-101,Churned
C00185,2025-05-26,True,False,2025-10-05,200,68,Dormant
C00186,2025-09-08,False,False,2025-09-08,95,95,Churned
C00187,2025-04-06,False,False,2025-04-06,250,250,Churned
C00188,2025-08-01,True,False,2026-01-17,133,-36,Engagement
C00189,2025-03-29,True,True,2025-04-07,258,249,Retained
C00190,2025-04-13,False,False,2025-04-13,243,243,Churned
C00191,2025-11-22,True,False,2025-11-23,20,19,Engagement
C00192,2025-10-11,False,False,2025-10-11,62,62,Churned
C00193,2025-06-13,True,False,2025-06-17,182,178,Dormant
C00194,2025-06-09,True,True,2025-06-22,186,173,Retained
C00195,2025-11-15,True,False,2025-11-24,27,18,Engagement
C00196,2025-10-26,True,True,2025-10-27,47,46,Retained
C00197,2025-06-11,True,False,2025-10-27,184,46,Dormant
C00198,2024-12-20,True,False,2024-12-24,357,353,Dormant
C00199,2025-03-16,True,False,2025-03-16,271,271,Dormant
C00200,2025-07-14,True,False,2025-07-18,151,147,Dormant
C00201,2025-09-01,True,True,2025-09-06,102,97,Retained
C00202,2025-09-30,True,True,2025-10-10,73,63,Retained
C00203,2025-01-22,True,False,2025-01-22,324,324,Dormant
C00204,2025-03-06,True,False,2025-03-14,281,273,Dormant
C00205,2025-01-05,True,False,2025-01-10,341,336,Dormant
C00206,2025-10-17,True,False,2026-04-24,56,-133,Engagement
C00207,2025-06-17,True,False,2025-08-31,178,103,Dormant
C00208,2025-02-16,False,False,2025-06-22,299,173,Churned
C00209,2025-09-26,False,False,2025-12-19,77,-7,Churned
C00210,2025-10-22,True,False,2025-10-26,51,47,Dormant
C00211,2025-09-19,False,False,2025-09-19,84,84,Churned
C00212,2025-08-31,False,False,2025-08-31,103,103,Churned
C00213,2025-10-15,True,False,2025-10-16,58,57,Dormant
C00214,2025-07-30,False,True,2025-07-30,135,135,Retained
C00215,2025-12-05,False,True,2025-12-05,7,7,Retained
C00216,2025-11-10,True,False,2025-11-16,32,26,Engagement
C00217,2025-08-27,False,False,2025-08-27,107,107,Churned
C00218,2025-02-28,True,False,2025-03-02,287,285,Dormant
C00219,2025-09-07,True,False,2025-11-27,96,15,Engagement
C00220,2025-11-21,False,True,2025-11-21,21,21,Retained
C00221,2025-05-20,True,False,2025-05-23,206,203,Dormant
C00222,2025-11-09,True,False,2026-01-28,33,-47,Engagement
C00223,2025-01-13,False,False,2025-01-13,333,333,Churned
C00224,2025-09-03,True,False,2026-02-10,100,-60,Engagement
C00225,2025-10-17,True,False,2025-10-28,56,45,Dormant
C00226,2025-05-31,False,True,2025-05-31,195,195,Retained
C00227,2025-09-21,True,True,2025-09-26,82,77,Retained
C00228,2025-11-05,True,True,2026-05-24,37,-163,Retained
C00229,2025-05-04,True,False,2025-05-04,222,222,Dormant
C00230,2025-03-20,True,False,2025-03-26,267,261,Dormant
C00231,2025-06-28,False,False,2025-11-29,167,13,Churned
C00232,2025-05-06,True,False,2025-05-07,220,219,Dormant
C00233,2025-07-01,False,False,2025-07-01,164,164,Churned
C00234,2025-04-14,True,False,2025-04-21,242,235,Dormant
C00235,2025-01-10,True,True,2025-01-20,336,326,Retained
C00236,2025-09-25,True,False,2025-10-04,78,69,Dormant
C00237,2025-11-11,False,False,2025-11-11,31,31,Churned
C00238,2025-10-08,False,False,2025-10-25,65,48,Churned
C00239,2025-09-08,False,True,2025-09-08,95,95,Retained
C00240,2025-10-25,True,True,2025-10-27,48,46,Retained
C00241,2025-01-06,True,False,2025-01-17,340,329,Dormant
C00242,2025-10-17,True,True,2026-03-23,56,-101,Retained
C00243,2025-02-28,False,False,2025-02-28,287,287,Churned
C00244,2025-10-12,True,False,2025-10-23,61,50,Dormant
C00245,2025-04-01,True,False,2025-05-11,255,215,Dormant
C00246,2025-09-15,False,False,2025-09-15,88,88,Churned
C00247,2025-01-04,True,False,2025-01-05,342,341,Dormant
C00248,2025-07-04,False,True,2026-01-15,161,-34,Retained
C00249,2025-01-16,True,False,2025-01-22,330,324,Dormant
C00250,2025-06-04,True,False,2025-07-04,191,161,Dormant
C00251,2025-02-25,True,True,2025-02-28,290,287,Retained
C00252,2025-05-11,False,False,2025-05-11,215,215,Churned
C00253,2025-11-07,True,True,2025-11-14,35,28,Retained
C00254,2025-09-27,True,False,2025-09-29,76,74,Dormant
C00255,2025-09-11,False,True,2025-09-11,92,92,Retained
C00256,2025-03-15,True,True,2025-03-21,272,266,Retained
C00257,2025-03-07,True,True,2025-03-15,280,272,Retained
C00258,2025-11-09,True,False,2025-11-10,33,32,Dormant
C00259,2025-01-31,True,False,2025-03-23,315,264,Dormant
C00260,2025-02-12,False,False,2025-02-12,303,303,Churned
C00261,2025-08-17,True,False,2025-08-20,117,114,Dormant
C00262,2025-01-29,False,False,2025-01-29,317,317,Churned
C00263,2025-01-06,True,True,2025-01-11,340,335,Retained
C00264,2025-04-26,False,False,2025-04-26,230,230,Churned
C00265,2025-02-08,False,False,2025-02-08,307,307,Churned
C00266,2025-05-18,True,False,2025-05-21,208,205,Dormant
C00267,2025-06-14,True,False,2025-06-28,181,167,Dormant
C00268,2025-11-23,True,False,2025-12-04,19,8,Engagement
C00269,2025-07-01,True,False,2025-07-15,164,150,Dormant
C00270,2025-09-23,False,False,2025-09-23,80,80,Churned
C00271,2025-02-05,True,False,2025-02-10,310,305,Dormant
C00272,2025-02-19,False,True,2025-02-19,296,296,Retained
C00273,2025-02-12,True,False,2025-02-16,303,299,Dormant
C00274,2025-09-26,True,False,2025-10-01,77,72,Dormant
C00275,2025-11-28,False,False,2025-11-28,14,14,Acquisition
C00276,2025-05-08,True,False,2025-05-19,218,207,Dormant
C00277,2025-08-03,False,False,2025-12-25,131,-13,Churned
C00278,2025-09-13,True,False,2025-12-30,90,-18,Engagement
C00279,2025-04-01,True,True,2025-04-05,255,251,Retained
C00280,2025-05-04,True,True,2025-05-31,222,195,Retained
C00281,2025-05-15,True,True,2025-05-24,211,202,Retained
C00282,2025-11-10,True,False,2025-11-15,32,27,Engagement
C00283,2025-09-04,True,False,2025-09-16,99,87,Dormant
C00284,2025-04-19,False,True,2025-04-19,237,237,Retained
C00285,2025-10-23,True,True,2025-10-29,50,44,Retained
C00286,2025-12-08,False,False,2025-12-08,4,4,Acquisition
C00287,2025-05-24,False,False,2025-05-24,202,202,Churned
C00288,2025-07-30,True,False,2025-10-31,135,42,Dormant
C00289,2025-09-19,False,True,2025-11-01,84,41,Retained
C00290,2025-01-21,False,False,2025-01-21,325,325,Churned
C00291,2025-11-10,True,True,2025-11-11,32,31,Retained
C00292,2025-09-26,True,True,2025-10-02,77,71,Retained
C00293,2025-10-03,True,False,2026-03-16,70,-94,Engagement
C00294,2024-12-21,True,False,2024-12-28,356,349,Dormant
C00295,2025-08-22,True,False,2025-08-31,112,103,Dormant
C00296,2025-06-21,False,False,2025-06-21,174,174,Churned
C00297,2025-10-20,True,False,2025-10-22,53,51,Dormant
C00298,2025-04-26,True,False,2025-04-28,230,228,Dormant
C00299,2025-08-06,False,False,2025-08-06,128,128,Churned
C00300,2025-05-16,True,False,2025-05-19,210,207,Dormant
C00301,2025-07-23,False,False,2025-08-17,142,117,Churned
C00302,2025-04-16,False,True,2025-04-16,240,240,Retained
C00303,2025-02-12,True,True,2025-03-03,303,284,Retained
C00304,2025-07-16,True,False,2026-01-05,149,-24,Engagement
C00305,2025-04-20,True,False,2025-05-04,236,222,Dormant
C00306,2025-09-18,False,False,2025-09-18,85,85,Churned
C00307,2025-05-05,True,False,2025-05-10,221,216,Dormant
C00308,2025-10-03,True,False,2025-10-17,70,56,Dormant
C00309,2025-05-22,False,False,2025-05-22,204,204,Churned
C00310,2025-08-26,True,True,2025-10-22,108,51,Retained
C00311,2025-04-16,True,True,2025-04-18,240,238,Retained
C00312,2025-02-25,False,False,2025-02-25,290,290,Churned
C00313,2025-11-28,False,False,2025-11-28,14,14,Acquisition
C00314,2025-07-24,False,False,2025-12-31,141,-19,Churned
C00315,2025-10-14,True,False,2025-10-14,59,59,Dormant
C00316,2025-11-17,True,False,2025-11-22,25,20,Engagement
C00317,2025-01-12,True,False,2025-04-26,334,230,Dormant
C00318,2025-06-29,True,False,2025-07-12,166,153,Dormant
C00319,2025-05-07,False,False,2025-11-14,219,28,Churned
C00320,2025-10-08,True,False,2025-10-22,65,51,Dormant
C00321,2025-08-15,True,False,2025-08-16,119,118,Dormant
C00322,2025-05-09,False,False,2025-05-09,217,217,Churned
C00323,2025-01-17,True,False,2025-01-29,329,317,Dormant
C00324,2025-10-29,False,False,2025-10-29,44,44,Churned
C00325,2025-08-26,False,False,2025-08-26,108,108,Churned
C00326,2025-07-09,False,False,2025-07-09,156,156,Churned
C00327,2025-11-22,False,False,2025-11-22,20,20,Churned
C00328,2025-08-16,False,False,2025-08-16,118,118,Churned
C00329,2025-05-08,True,True,2025-05-12,218,214,Retained
C00330,2025-10-08,True,True,2025-10-09,65,64,Retained
C00331,2025-04-16,True,False,2025-04-24,240,232,Dormant
C00332,2025-10-08,False,False,2025-10-08,65,65,Churned
C00333,2025-06-27,True,False,2025-07-03,168,162,Dormant
C00334,2025-06-15,True,True,2025-06-22,180,173,Retained
C00335,2025-01-18,True,True,2025-01-26,328,320,Retained
C00336,2025-05-20,True,False,2025-06-05,206,190,Dormant
C00337,2025-07-09,True,False,2025-07-19,156,146,Dormant
C00338,2025-02-23,False,True,2025-02-23,292,292,Retained
C00339,2025-04-26,True,False,2025-04-30,230,226,Dormant
C00340,2025-03-10,True,True,2025-03-12,277,275,Retained
C00341,2025-07-01,False,False,2025-12-27,164,-15,Churned
C00342,2025-11-19,True,False,2025-11-25,23,17,Engagement
C00343,2025-09-30,False,False,2025-09-30,73,73,Churned
C00344,2025-06-13,True,False,2025-06-15,182,180,Dormant
C00345,2025-01-03,True,False,2025-01-16,343,330,Dormant
C00346,2025-04-07,True,False,2025-04-21,249,235,Dormant
C00347,2025-08-16,True,False,2025-08-16,118,118,Dormant
C00348,2025-05-31,True,True,2025-06-02,195,193,Retained
C00349,2025-11-11,False,True,2025-11-11,31,31,Retained
C00350,2025-04-22,False,False,2025-04-22,234,234,Churned
C00351,2025-12-07,True,False,2025-12-10,5,2,Engagement
C00352,2025-02-17,True,False,2025-03-03,298,284,Dormant
C00353,2025-07-08,False,False,2025-07-08,157,157,Churned
C00354,2025-04-10,True,False,2025-07-14,246,151,Dormant
C00355,2025-05-26,True,False,2025-06-05,200,190,Dormant
C00356,2025-07-31,True,False,2025-11-08,134,34,Dormant
C00357,2025-05-20,True,False,2025-05-28,206,198,Dormant
C00358,2025-10-04,True,True,2025-10-12,69,61,Retained
C00359,2025-04-28,False,False,2025-04-28,228,228,Churned
C00360,2025-02-03,True,False,2025-03-13,312,274,Dormant
C00361,2025-05-17,True,False,2025-05-23,209,203,Dormant
C00362,2025-11-03,True,False,2025-11-17,39,25,Engagement
C00363,2025-06-05,False,True,2025-06-05,190,190,Retained
C00364,2025-08-06,False,True,2025-08-06,128,128,Retained
C00365,2025-11-23,True,False,2025-12-03,19,9,Engagement
C00366,2025-07-27,True,False,2026-01-04,138,-23,Engagement
C00367,2025-08-21,False,False,2025-08-21,113,113,Churned
C00368,2025-01-04,False,True,2025-01-04,342,342,Retained
C00369,2025-02-11,True,False,2025-08-10,304,124,Dormant
C00370,2024-12-16,True,False,2024-12-22,361,355,Dormant
C00371,2025-09-01,True,False,2025-10-23,102,50,Dormant
C00372,2025-10-12,True,False,2025-10-16,61,57,Dormant
C00373,2025-08-14,True,False,2025-08-19,120,115,Dormant
C00374,2025-03-28,False,False,2025-03-28,259,259,Churned
C00375,2025-10-17,True,False,2025-12-18,56,-6,Engagement
C00376,2025-07-16,False,False,2025-07-16,149,149,Churned
C00377,2025-09-05,True,False,2026-02-19,98,-69,Engagement
C00378,2025-08-01,True,False,2025-08-07,133,127,Dormant
C00379,2025-05-14,True,False,2025-05-19,212,207,Dormant
C00380,2025-09-19,True,False,2025-12-04,84,8,Engagement
C00381,2025-01-06,False,False,2025-01-06,340,340,Churned
C00382,2025-11-27,True,False,2025-11-27,15,15,Engagement
C00383,2025-08-25,True,True,2025-11-26,109,16,Retained
C00384,2025-10-26,False,True,2025-10-26,47,47,Retained
C00385,2025-11-06,True,False,2025-11-13,36,29,Engagement
C00386,2025-10-24,True,True,2025-10-25,49,48,Retained
C00387,2025-08-28,True,False,2025-09-07,106,96,Dormant
C00388,2025-12-03,True,False,2025-12-15,9,-3,Engagement
C00389,2025-02-11,False,False,2025-04-19,304,237,Churned
C00390,2025-04-26,True,True,2025-05-08,230,218,Retained
C00391,2025-03-20,False,False,2025-03-20,267,267,Churned
C00392,2025-10-19,False,False,2026-03-17,54,-95,Churned
C00393,2025-03-29,False,False,2025-03-29,258,258,Churned
C00394,2025-04-14,False,False,2025-04-14,242,242,Churned
C00395,2025-06-17,True,False,2025-06-18,178,177,Dormant
C00396,2025-01-25,True,True,2025-02-05,321,310,Retained
C00397,2025-08-28,True,False,2025-09-08,106,95,Dormant
C00398,2025-05-11,False,False,2025-05-11,215,215,Churned
C00399,2025-08-27,True,True,2026-02-16,107,-66,Retained
C00400,2025-06-14,False,True,2025-10-02,181,71,Retained
C00401,2025-11-19,False,True,2025-11-19,23,23,Retained
C00402,2025-05-12,False,False,2025-05-12,214,214,Churned
C00403,2025-04-23,True,True,2025-05-07,233,219,Retained
C00404,2024-12-17,True,True,2024-12-24,360,353,Retained
C00405,2025-05-16,True,False,2025-05-24,210,202,Dormant
C00406,2025-01-21,False,False,2025-01-21,325,325,Churned
C00407,2025-04-30,True,False,2025-05-07,226,219,Dormant
C00408,2025-05-05,True,False,2025-05-15,221,211,Dormant
C00409,2025-09-04,False,True,2025-09-04,99,99,Retained
C00410,2025-10-21,False,True,2026-01-01,52,-20,Retained
C00411,2025-08-07,False,False,2025-08-07,127,127,Churned
C00412,2025-01-15,False,False,2025-01-15,331,331,Churned
C00413,2025-03-20,True,True,2025-07-02,267,163,Retained
C00414,2025-05-24,True,False,2025-07-26,202,139,Dormant
C00415,2025-01-24,True,True,2025-02-01,322,314,Retained
C00416,2025-09-22,False,True,2025-09-22,81,81,Retained
C00417,2025-09-30,True,True,2025-10-02,73,71,Retained
C00418,2025-02-19,False,False,2025-02-19,296,296,Churned
C00419,2025-04-11,True,False,2025-04-15,245,241,Dormant
C00420,2025-06-18,True,False,2025-06-29,177,166,Dormant
C00421,2025-08-10,True,True,2025-08-24,124,110,Retained
C00422,2025-12-08,False,True,2025-12-08,4,4,Retained
C00423,2025-07-26,True,False,2025-08-08,139,126,Dormant
C00424,2025-07-29,True,True,2025-08-04,136,130,Retained
C00425,2025-06-17,True,False,2025-06-19,178,176,Dormant
C00426,2025-05-18,True,True,2025-05-26,208,200,Retained
C00427,2025-08-31,False,False,2025-08-31,103,103,Churned
C00428,2025-01-30,False,True,2025-01-30,316,316,Retained
C00429,2025-08-03,True,False,2025-08-04,131,130,Dormant
C00430,2025-09-07,True,False,2026-03-02,96,-80,Engagement
C00431,2025-02-11,True,False,2025-02-21,304,294,Dormant
C00432,2025-04-24,False,False,2025-04-24,232,232,Churned
C00433,2025-04-17,True,False,2025-04-27,239,229,Dormant
C00434,2025-02-23,False,False,2025-02-23,292,292,Churned
C00435,2025-10-29,True,False,2025-10-31,44,42,Dormant
C00436,2025-09-01,False,False,2025-09-01,102,102,Churned
C00437,2025-03-23,True,False,2025-04-03,264,253,Dormant
C00438,2025-03-03,True,False,2025-03-09,284,278,Dormant
C00439,2025-12-10,True,False,2025-12-11,2,1,Engagement
C00440,2025-01-11,True,True,2025-01-23,335,323,Retained
C00441,2024-12-18,False,True,2025-01-16,359,330,Retained
C00442,2025-07-27,False,False,2025-11-15,138,27,Churned
C00443,2025-09-03,True,False,2025-09-13,100,90,Dormant
C00444,2024-12-24,True,False,2025-07-12,353,153,Dormant
C00445,2024-12-21,False,False,2024-12-21,356,356,Churned
C00446,2025-03-27,False,True,2025-03-27,260,260,Retained
C00447,2025-11-01,True,False,2025-11-12,41,30,Engagement
C00448,2025-10-18,True,False,2025-10-31,55,42,Dormant
C00449,2025-12-01,True,False,2025-12-14,11,-2,Engagement
C00450,2025-09-22,False,True,2025-09-22,81,81,Retained
C00451,2025-01-04,False,False,2025-01-04,342,342,Churned
C00452,2025-02-03,True,True,2025-02-09,312,306,Retained
C00453,2024-12-23,False,False,2024-12-23,354,354,Churned
C00454,2025-03-28,False,False,2025-03-28,259,259,Churned
C00455,2025-01-13,True,True,2025-01-17,333,329,Retained
